disease,symptoms,treatment
Flu,"high temperature, hacking cough, throat pain, runny nose, body aches, profound fatigue, headache","rest, hydration, over-the-counter pain relievers, antiviral drugs"
Common Cold,"sneezing, nasal discharge, scratchy throat, congestion, mild cough, feeling unwell","rest, hydration, decongestants, vitamin C, throat lozenges"
COVID-19,"fever or chills, dry cough, tiredness, loss of taste or smell, shortness of breath, muscle aches, sore throat, headache","isolation, rest, fluids, medical attention if severe, antiviral medication like Paxlovid"
Migraine,"severe throbbing headache, nausea, vomiting, extreme sensitivity to light, extreme sensitivity to sound, seeing auras or flashing lights","pain relievers, triptans, dark quiet room, sleep, hydration"
Allergy (Hay Fever),"sneezing fits, itchy and watery eyes, runny or stuffy nose, itchy skin, rash, wheezing, post-nasal drip","antihistamines, avoid allergens, nasal corticosteroid sprays, allergy shots"
Asthma,"difficulty breathing, wheezing sound when exhaling, chest tightness or pain, coughing fits, especially at night or early morning","rescue inhaler (albuterol), long-term controller inhalers (corticosteroids), avoiding triggers"
Diabetes Mellitus Type 1,"extreme thirst (polydipsia), frequent urination (polyuria), unexplained weight loss, fatigue, blurred vision, slow-healing sores","lifelong insulin therapy, regular blood sugar monitoring, carbohydrate counting, diet management"
Diabetes Mellitus Type 2,"increased thirst, frequent urination, fatigue, blurred vision, slow-healing sores, numbness or tingling in hands or feet, frequent infections","diet management, exercise, oral medications (Metformin), insulin therapy, weight management"
Hypertension (High Blood Pressure),"often asymptomatic (silent killer), persistent headache, dizziness, nosebleeds, blurred vision, shortness of breath in severe cases","lifestyle changes (low-sodium diet, exercise, stress reduction), antihypertensive medication"
Heart Attack (Myocardial Infarction),"crushing chest pain or pressure, pain radiating to the left arm/jaw/back, shortness of breath, cold sweat, nausea, lightheadedness","emergency medical attention (call 911), aspirin, nitroglycerin, oxygen therapy, angioplasty or bypass surgery"
Stroke,"sudden numbness or weakness in the face, arm, or leg (especially on one side), sudden confusion, trouble speaking or understanding, sudden dizziness, loss of balance, sudden severe headache","emergency medical attention (call 911 immediately), clot-busting drugs (tPA), endovascular procedures, rehabilitation"
Malaria,"cycles of high fever, shaking chills, and profuse sweating, headache, muscle aches, fatigue, nausea, vomiting","antimalarial drugs (Artemisinin-based combination therapies), rest, hydration, paracetamol for fever"
Typhoid Fever,"prolonged high fever, severe weakness, stomach pain, headache, loss of appetite, rose-colored spots (rash)","antibiotics (Ciprofloxacin, Azithromycin), rehydration therapy, rest, soft diet"
Tuberculosis (TB),"persistent cough lasting more than 3 weeks (sometimes with blood), unintended weight loss, night sweats, fever, fatigue, chest pain","long course of multiple antibiotics (6-9 months), rest, good nutrition, isolation initially"
Hepatitis A,"fatigue, nausea, jaundice (yellowing skin/eyes), dark urine, clay-colored stool, abdominal pain, loss of appetite, low-grade fever","rest, hydration, avoiding alcohol, supportive care (usually resolves on its own), vaccination for prevention"
Hepatitis B,"fatigue, jaundice, dark urine, abdominal pain, nausea, joint pain, loss of appetite","antiviral medications for chronic cases, rest, avoiding alcohol, vaccination for prevention"
Hepatitis C,"often asymptomatic for years, fatigue, jaundice, dark urine, abdominal pain, nausea, poor appetite, spider-like blood vessels on skin","antiviral medications (DAAs) can cure most cases, liver monitoring, avoiding alcohol"
Dengue Fever,"sudden high fever, severe headache, pain behind the eyes, severe muscle and joint pain, rash, mild bleeding from nose or gums","rest, hydration, paracetamol for pain (avoid aspirin/ibuprofen), medical monitoring for warning signs"
Chikungunya,"abrupt onset of fever, severe and often debilitating joint pain, muscle pain, headache, nausea, rash, fatigue","pain relievers, anti-inflammatory drugs (NSAIDs), rest, hydration, physical therapy for joint pain"
Pneumonia,"sharp chest pain that worsens with deep breathing or coughing, productive cough with green/yellow phlegm, high fever, chills, shortness of breath","antibiotics (if bacterial), rest, plenty of fluids, oxygen therapy if severe"
Urinary Tract Infection (UTI),"burning sensation during urination, frequent and intense urge to urinate, passing small amounts of urine, cloudy or strong-smelling urine, pelvic pain","antibiotics, increased fluid intake, cranberry juice or supplements for prevention"
Gastroenteritis (Stomach Flu),"watery diarrhea, vomiting, nausea, stomach cramps and pain, low-grade fever, headache, muscle aches","rest, aggressive hydration (oral rehydration solutions), bland diet (BRAT: bananas, rice, applesauce, toast)"
Appendicitis,"sudden sharp pain that begins around the navel and shifts to the lower right abdomen, pain that worsens with coughing or walking, nausea, vomiting, loss of appetite, low-grade fever","emergency surgical removal of the appendix (appendectomy), antibiotics"
Gallstones (Cholelithiasis),"sudden and severe pain in the upper right abdomen, pain between shoulder blades, nausea, vomiting, indigestion, fever","pain management, cholecystectomy (gallbladder removal surgery), medication to dissolve stones"
Kidney Stones (Nephrolithiasis),"severe, sharp pain in the side and back below the ribs, pain that radiates to the lower abdomen and groin, painful urination, pink/red/brown urine, nausea and vomiting","pain medication, hydration to pass stones, medical procedures like lithotripsy or ureteroscopy to break up or remove stones"
